,Company,Link,Pitch,Joined,Location,Market,Website,Employees,Stage,Total_raised
1728,BBG Ventures,https://angel.co/bbg-ventures,An early stage venture capital fund,Nov ’14,New York City,Curated Web,Website,,-,-
1729,TetraScience,https://angel.co/tetrascience,Data platform for life sciences,Sep ’15,Boston,Technology,tetrascience.com,11-50,Series A,"$10,000,000"
1730,Far East Ventures,https://angel.co/far-east-ventures,,Dec ’14,Singapore,Technology,fareast.ventures,,-,-
1731,Chai,https://angel.co/chai,Biotechnology for the Real World,Dec ’14,Santa Clara,Synthetic Biology,chaibio.com,11-50,Seed,"$2,800,000"
1732,Kindly Care,https://angel.co/kindly-care,Marketplace for senior home care,Jan ’15,San Francisco,Marketplaces,kindlycare.com,51-200,Seed,"$4,100,000"
1733,Brainchild & Co.,https://angel.co/brainchild-1,Building services and products for consumers,Jan ’15,New York City,Beauty,brainchild.co,11-50,-,-
1734,Jobsinthemoney,https://angel.co/jobsinthemoney,,Jan ’15,-,-,-,-,-,-
1735,OneEleven,https://angel.co/oneeleven-111,Post-Seed Stage Tech Accelerator,Mar ’15,Toronto,Technology,oneeleven.com,1-10,-,-
1736,Signatures Capital,https://angel.co/signatures-capital,Supporting founders committed to inventing the future.,Jan ’15,San Francisco,Venture Capital,signaturescapital.com,1-10,-,-
1737,Staffly,https://angel.co/staffly,On-demand Retail Staffing Marketplace,Sep ’15,San Francisco,Business Services,Staffly.com,1-10,Seed,"$2,610,000"
1738,Plate IQ,https://angel.co/plateiq,Redefining restaurant operations (YC S15),Aug ’15,San Francisco,Predictive Analytics,plateiq.com,11-50,Seed,"$5,300,000"
1739,Shred Video,https://angel.co/shred-video,1-button video editing,Nov ’15,San Francisco,Artificial Intelligence,shredvideo.com,,-,-
1740,Bit.ly,https://angel.co/bit-ly,,Jan ’12,-,-,bit.ly,51-200,Acquired,"$94,400,000"
1741,Radius Agent,https://angel.co/radiusagent,Social Network for Real Estate Agents and Brokers,Jun ’14,Broomfield,Private Social Networking,radiusagent.com,11-50,Series A,"$6,450,000"
1742,Symphony,https://angel.co/symphony-3,The secure collaboration and workflow technology company,Oct ’14,Palo Alto,Messaging,symphony.com,201-500,,"$366,000,000"
1743,BrightCrowd,https://angel.co/brightcrowd,The Smarter Professional Network,Oct ’14,Redwood City,Q&A,brightcrowd.com,1-10,-,-
1744,Lyte,https://angel.co/lyte,,Oct ’14,San Francisco,Ticketing,lyte.com,11-50,-,-
1745,Gyroscope,https://angel.co/gyroscope,A new OS for the human body,Oct ’14,San Francisco,Fitness,gyrosco.pe,1-10,-,-
1746,Rhumbix,https://angel.co/rhumbix,Field Construction Productivity Solutions,Dec ’14,San Francisco,Industrial,rhumbix.com,11-50,Series D,"$12,260,000"
1747,ShineOn.com,https://angel.co/shineonjewelry,ShineOn is an e-commerce platform that empowers the creation and sale of jewelry.,Oct ’15,Brooklyn,E-Commerce Platforms,shineon.com,11-50,-,-
1748,Gridspace,https://angel.co/gridspace,Software that understands and automates real-time conversation,Nov ’14,San Francisco,Deep Learning,gridspace.com,11-50,-,-
1749,Untrodden,https://angel.co/untrodden,"An online treasure chest to places less-explored, starting with lodging. ",Oct ’14,San Francisco,Curated Web,untrodden.com,1-10,-,-
1750,Superhuman,https://angel.co/superhuman,The fastest email experience ever made. Sign up now for VIP access.,Aug ’15,San Francisco,SaaS,superhuman.com,11-50,-,-
1751,Current Labs,https://angel.co/current-labs,Tools for managing aquatic ecosystems,Jan ’15,San Francisco,Experience Design,currentlabs.io,1-10,-,-
1752,Bezar,https://angel.co/bezar,The Design Marketplace,Nov ’15,New York City,Marketplaces,bezar.com,,-,-
1753,Replicated,https://angel.co/replicated,"Private SaaS, as a service",May ’15,Los Angeles,Docker,replicated.com,1-10,Series A,"$6,500,000"
1754,TourBook,https://angel.co/tourbook,TourBook is a new way for commercial real estate brokers to work with their clients. ,Jan ’15,San Francisco,Commercial Real Estate,tourbookapp.com,1-10,-,-
1755,Brick & Mortar Ventures,https://angel.co/brick-mortar-ventures,Investing in Technology for the Built World,Jan ’15,San Francisco,Hospitality,brickmortar.vc,1-10,-,-
1756,Drive Motors,https://angel.co/drive-motors,Online checkout for car dealerships (Y Combinator W2016),Mar ’15,San Francisco,Mobile Commerce,drivemotors.com,11-50,-,-
1757,Parlio (acq. by Quora),https://angel.co/parlio,A global online community discussing what matters.,Jan ’15,Palo Alto,Blogging Platforms,parlio.com,1-10,-,-
1758,Reach Capital,https://angel.co/reach-capital,,Feb ’16,-,-,reachcap.com,,-,-
1759,Rippling,https://angel.co/rippling,"HR, IT & Operations. Everything your employees need, in one place.",Apr ’17,San Francisco,-,rippling.com,51-200,Seed,"$7,500,000"
1760,Giant Swarm,https://angel.co/giant-swarm,Managed Kubernetes Anywhere,Jul ’14,Cologne,Cloud Infrastructure,giantswarm.io,11-50,Seed,"$2,335,000"
1761,ParkiFi,https://angel.co/parkifi,Real Time Parking Spot Occupancy Plaftorm,Sep ’14,Boulder,Mobile Payments,parkifi.com,,Acquired,"$9,500,000"
1762,Talkray,https://angel.co/talkray,Messaging and Calling App,Sep ’14,Redwood City,Messaging,talkray.com,1-10,-,-
1763,Zinc,https://angel.co/zinc-technologies,An Ecommerce Plumbing Company (YC W14),Sep ’14,San Francisco,B2B,zinc.io,11-50,-,-
1764,Spruce Health,https://angel.co/spruce-health,Modern healthcare delivery,Dec ’14,San Francisco,-,sprucehealth.com,11-50,Series A,"$17,000,000"
1765,Clubhouse Software,https://angel.co/clubhouse-software,Project management tools you’ll actually enjoy using.,Sep ’14,New York City,Product Management,clubhouse.io,1-10,,"$4,000,000"
1766,Lunar Wireless,https://angel.co/lunar-labs,Mobile without a monthly bill.,Sep ’14,Detroit,Telecommunications,lunarwireless.com,1-10,Seed,"$4,400,000"
1767,AspireIQ,https://angel.co/aspireiq,The leading influencer platform for producing branded creative at scale. ,Oct ’14,San Francisco,Social Media Marketing,aspireiq.com,51-200,Seed,"$2,400,000"
1768,Vita-Mix,https://angel.co/vita-mix,,Oct ’14,-,-,,,-,-
1769,FG Angels Syndicate Fund III,https://angel.co/fg-angels-syndicate-fund-iii,"1 Investment, 15 deals from FG Angels",Oct ’14,-,-,angel.co,,-,-
1770,Channel,https://angel.co/channel-app,Watch the world.,Oct ’14,San Francisco,Video Streaming,channel.wtf,11-50,Seed,"$8,200,000"
1771,KohFounders,https://angel.co/kohfounders,"KohFounders is a pre seed fund focused on emerging ecosystems. The team, advisors and investors have helped build and have experience at companies including Facebook, Sequoia Capital, Google, Snapchat, Groupon, Zynga, Kabam, ebay, uber, etc.  ",Oct ’14,-,-,kohfounders.com,11-50,-,-
1772,v1.vc,https://angel.co/v1-vc,Seed-stage venture capital fund based in Boulder and San Francisco,Nov ’15,Boulder,Hardware + Software,v1.vc,1-10,-,-
1773,Shinesty,https://angel.co/shinesty,Irreverent fashion for events year round. ,Oct ’14,Boulder,Fashion,shinesty.com,11-50,,"$330,000"
1774,Wevorce,https://angel.co/wevorce,Changing Divorce For Good,Nov ’14,San Francisco,Legal,wevorce.com,,Seed,"$6,400,000"
1775,Carbon Robotics,https://angel.co/carbon-robotics,Democratizing advanced robotics. ,Nov ’14,San Francisco,Robotics,carbon.ai,1-10,-,-
1776,Spoil,https://angel.co/spoil,Gifting for the Snapchat Generation,Nov ’14,San Francisco,Ecommerce,spoil.co,1-10,-,-
1777,Snowball,https://angel.co/snowball-2,All your mobile messages in one place,Nov ’14,San Francisco,Operating Systems,trysnowball.com,1-10,Seed,"$2,300,000"
1778,Opstarts,https://angel.co/opstarts,Planning and forecasting without spreadsheets,Nov ’14,San Francisco,B2B,opstarts.com,,-,-
1779,NURX,https://angel.co/nurx,"Medication, Prescribed and Delivered",Nov ’14,San Francisco,Young Adults,nurx.co,11-50,Series A,"$5,300,000"
1780,Zen99,https://angel.co/zen99,Finance and insurance tools for freelancers,Aug ’14,San Francisco,-,tryzen99.com,1-10,Seed,"$2,500,000"
1781,FLIP,https://angel.co/flip,eBay for the snapchat generation,Aug ’14,-,Ephemeral ,JustFlip.com,1-10,-,-
1782,Dia&Co,https://angel.co/dia-co,Dia&Co is the leading personalized styling service for women who wear sizes 14+.,Sep ’14,Los Angeles,Retail Technology,dia.com,501-1000,Series A,"$20,000,000"
1783,AngelList Consumer Fund I,https://angel.co/consumer-fund,A diversified portfolio of consumer technology investments,Sep ’14,San Francisco,Consumer Internet,angel.co,,-,-
1784,Dwell,https://angel.co/dwell,Connecting the modern world.,Aug ’14,San Francisco,Interest Graph,dwell.com,11-50,Series A,"$4,800,000"
1785,Growbot,https://angel.co/growbot,Employee engagement in Slack,Sep ’14,San Francisco,Messaging,growbot.io,1-10,Seed,"$2,000,000"
1786,Thrive Agritech,https://angel.co/thrive-agritech,Better LED Horticultural Lighting through Technology,Sep ’15,New York City,Energy Efficiency,thriveagritech.com,11-50,,"$3,100,000"
1787,Konsus,https://angel.co/konsushq,On-Demand Business Support,Feb ’16,Palo Alto,B2B,konsus.com,51-200,Seed,"$1,500,000"
1788,The Mighty,https://angel.co/the-mighty,A platform that empowers and connects people facing health challenges and disabilities.,Sep ’14,Los Angeles,Digital Health,themighty.com,11-50,Seed,"$8,200,000"
1789,Classkick,https://angel.co/classkick,"Student Feedback - Better, Faster, Together",Oct ’14,Chicago,K-12 Education,classkick.com,1-10,Seed,"$1,600,000"
1790,Grabble,https://angel.co/grabble,Mobile Commerce Platform b2b and award winning b2c ,Oct ’14,London,Mobile Commerce,grabble.com,11-50,,"£2,100,000"
1791,Cloudstitch,https://angel.co/cloudstitch,A web development platform that uses your office suite as the back-end,Oct ’14,San Francisco,Web Design,cloudstitch.com,1-10,Acquired,-
1792,GitPrime,https://angel.co/gitprime,Productivity analytics for software teams,Oct ’14,Mountain View,Big Data Analytics,gitprime.com,11-50,Seed,"$800,000"
1793,Descartes Labs,https://angel.co/descartes-labs,Modeling complex systems on the planet,Apr ’15,Los Alamos,Agriculture,descarteslabs.com,,Seed,"$8,300,000"
1794,Zensight,https://angel.co/zensight,Artificial intelligence for sales professionals,Dec ’14,Boston,Sales Automation,zensight.ai,1-10,Acquired,-
1795,Roomblocker,https://angel.co/roomblocker,Hotel booking for groups and events (YC S15),Nov ’14,San Francisco,Hospitality,Roomblocker.com,,,"$120,000"
1796,Bento,https://angel.co/bento-2,Delicious Asian food,Feb ’15,San Francisco,Mobile Commerce,bentonow.com,1-10,,"$1,500,000"
1797,CTRL+Console,https://angel.co/ctrl-console,Computer interface for the 21st Century,Jan ’15,Boulder,Creative Industries,ctrlconsole.com,1-10,,"$261,000"
1798,HOOKED,https://angel.co/hookedapp,Machine learning for storytelling,Jul ’15,San Francisco,Digital Entertainment,hooked.co,11-50,Series A,"$15,150,000"
1799,Framer,https://angel.co/framer,The best way to create interactive designs from start to finish.,Nov ’14,Amsterdam,Developer Tools,framer.com,11-50,Series A,"$9,300,000"
1800,Dragoneer Investment Group,https://angel.co/dragoneer-investment-group,,Aug ’14,San Francisco,-,-,-,-,-
1801,Noteleaf,https://angel.co/noteleaf,,Aug ’14,Palo Alto,Meeting Software,noteleaf.com,-,-,-
1802,Orphidia,https://angel.co/orphidia,Universal Platform For All Blood Tests,Aug ’14,San Francisco,Medical Devices,orphidia.com,11-50,Seed,"$1,805,000"
1803,Blockstream,https://angel.co/blockstream,Blockstream solves problems that undermine trust in today's financial systems.,Sep ’14,Mountain View,Data Security,blockstream.com,11-50,Series A,"$76,000,000"
1804,Growbots,https://angel.co/growbots,Outbound sales. 5 minutes a day. In one place,Sep ’14,San Francisco,Lead Generation,growbots.com,51-200,Seed,"$3,100,000"
1805,Make School,https://angel.co/make-school,College designed for the 21st century,Sep ’14,San Francisco,Education,makeschool.com,11-50,Seed,"$4,375,000"
1806,Bikanta,https://angel.co/bikanta,Nanodiamonds Redefining Imaging for Cancer Detection,Dec ’14,Berkeley,-,bikanta.com,1-10,-,-
1807,Huckle,https://angel.co/huckle,Start your own live group chats with just a Tweet,Sep ’14,San Francisco,Messaging,HuckleApp.com,1-10,Seed,"$850,000"
1808,Evolution Equity Partners,https://angel.co/evolution-equity-partners,Venture Capital Firm,Oct ’15,New York City,-,evolutionequity.com,1-10,-,-
1809,harvest.ai,https://angel.co/harvest-ai,Stop data theft before it happens,Sep ’14,San Diego,Predictive Analytics,harvest.ai,11-50,Acquired,"$21,300,000"
1810,Supply Chain Connect,https://angel.co/supply-chain-connect,,Mar ’17,Newport News,E-Commerce,supplychainconnect.com,-,-,-
1811,Liveli,https://angel.co/liveli,Automate your Hiring.,Mar ’15,San Francisco,Small and Medium Businesses,liveli.co,11-50,Acquired,-
1812,Skyfront,https://angel.co/skyfront,"Long-endurance, hybrid-electric drone aircraft",Sep ’14,San Francisco Bay Area,Robotics,skyfront.com,,,"$120,000"
1813,Mona,https://angel.co/shopwithmona,The world's smartest personal shopping assistant (Techstars NYC '15),Jul ’15,Seattle,Mobile Commerce,monahq.com,1-10,-,-
1814,Barricade,https://angel.co/barricade,Early warning system against hackers,Nov ’14,Austin,Technology,barricade.io,11-50,Seed,"$1,200,000"
1815,MoveWith,https://angel.co/movewith,Your Personal Audio Fitness Studio,Sep ’14,San Francisco,Fitness,movewith.com,1-10,Seed,"$4,250,000"
1816,Liucrative Endeavors,https://angel.co/liucrative-endeavors,Strategy and investment firm,Sep ’14,San Francisco,IaaS,,1-10,-,-
1817,Chain,https://angel.co/chain-com,Ledger infrastructure for modern applications,Oct ’14,San Francisco,Developer APIs,chain.com,11-50,Seed,"$43,700,000"
1818,Andy OS,https://angel.co/andy-os,An Android platform that connects mobile and desktop,Oct ’14,San Francisco,Android,andyroid.net,1-10,,"$3,000,000"
1819,fuzzy.ai,https://angel.co/fuzzy-ai,Easy Machine Learning for Developers,Dec ’14,San Francisco,Developer APIs,fuzzy.ai,1-10,-,-
1820,MUBI,https://angel.co/mubi,Curated Film Streaming Service ,Oct ’10,San Francisco,Film,mubi.com,51-200,Series D,"$27,050,000"
1821,NGDATA,https://angel.co/ngdata,Experience The Difference,Oct ’12,Gent,Customer Experience,ngdata.com,51-200,Series B,"$25,400,000"
1822,Stream,https://angel.co/stream,"Stream is an API for building, scaling and personalizing feeds.",Sep ’14,Boulder,SaaS,getstream.io,11-50,Series A,"$4,750,000"
1823,Livongo Health,https://angel.co/livongo-health,,Sep ’14,Chicago,-,livongo.com,-,Series B,"$74,500,000"
1824,Liveli,https://angel.co/liveli,Automate your Hiring.,Mar ’15,San Francisco,Small and Medium Businesses,liveli.co,11-50,Acquired,-
1825,Skydio,https://angel.co/skydio,The self-flying camera has arrived,Oct ’14,Redwood City,Robotics,skydio.com,51-200,Series B,"$70,000,000"
1826,MightySignal,https://angel.co/mightysignal,Providing critical insights into the mobile ecosystem,Oct ’14,San Francisco,B2B,mightysignal.com,1-10,,"$1,200,000"
1827,Acre Designs,https://angel.co/acre-designs,Beautiful - Smart - Homes,Dec ’14,Mountain View,Construction,acredesigns.com,1-10,Seed,"$1,362,000"
1828,Razorpay,https://angel.co/razorpay,A One Stop modern online payment gateway for India,Mar ’15,Bengaluru,Mobile Payments,razorpay.com,51-200,,"$11,500,000"
1829,ROSS Intelligence,https://angel.co/ross-intelligence,Siri for the law. We provide cited answers to natural language legal questions.,Jan ’15,Palo Alto,Legal,rossintelligence.com,1-10,-,-
1830,Allay,https://angel.co/allay,A modeling and quoting platform for self insured health plans. (AngelPad#8) ,Jan ’15,San Francisco,Insurance,allay.io,11-50,Seed,"$3,400,000"
1831,UK Technology by Flight Ventures,https://angel.co/flight-vc-uk,Investing in early stage companies ,Dec ’14,London,Consumer,angel.co,1-10,-,-
1832,SIZZLE,https://angel.co/onsizzle,Search and Share Any Meme,Jan ’15,San Francisco,Computer Vision,onsizzle.com,1-10,-,-
1833,SpringRole,https://angel.co/springrole,Professional Network on the blockchain,Feb ’15,Santa Monica,Blockchains,springrole.com,11-50,Seed,"$250,000"
1834,Grapevine,https://angel.co/grapevine,Global Influencer Marketing Ecosystem,Dec ’14,Boston,Advertising Platforms,grapevinelogic.com,11-50,Seed,"$1,100,000"
1835,ICE,https://angel.co/ice,The International Conclave of Entrepreneurs,Dec ’14,London,Entrepreneurs,angel.co,51-200,-,-
1836,JOANY,https://angel.co/hellojoany,"Health Insurance, Simple and Transparent",Dec ’14,Los Angeles,Insurance,joany.com,11-50,Series A,"$18,950,000"
1837,Lookup,https://angel.co/lookupto,The Local Shopping Network.,Dec ’14,Delhi,Messaging,lookup.to,51-200,Acquired,"$2,882,000"
1838,Marketplaces by Flight.vc,https://angel.co/marketplace-syndicate,"Online marketplaces have among the best network effects, revenue and profit models.",Dec ’14,San Francisco,Marketplaces,hi.com,,-,-
1839,ThermoGenesis Group,https://angel.co/thermogenisis-group,Cloud-connected treadmill desks and standing desks,Jan ’15,Grand Rapids,Fitness,imovr.com,11-50,-,-
1840,reMail,https://angel.co/remail,,Jan ’12,-,Messaging,remail.com,-,Acquired,-
1841,Phasor,https://angel.co/phasor,broadband on the move,Jan ’12,Washington DC,Communications Hardware,phasorsolutions.com,11-50,-,"$18,200,000"
1842,Auctomatic,https://angel.co/auctomatic,,Aug ’12,San Francisco,Auctions,auctomatic.com,1-10,Acquired,"$5,000,000"
1843,Jeeran,https://angel.co/jeeran,Local discovery based on community reviews,Apr ’12,"Jordan, JO",Crowdsourcing,jeeran.com,11-50,Seed,-
1844,Digital Garage,https://angel.co/digital-garage,,Feb ’14,Tokyo,Investment Management,garage.co.jp,11-50,-,-
1845,FOBO,https://angel.co/fobo-1,"The fastest, easiest way to sell your electronics",Nov ’13,San Francisco,Hardware + Software,fobo.net,1-10,Acquired,"$2,600,000"
1846,Azuki Systems,https://angel.co/azuki-systems,,Jan ’12,Acton,Video Streaming,azukisystems.com,,Acquired,"$28,100,000"
1847,Watsi,https://angel.co/watsi,Building technology to finance healthcare for everyone,Jul ’13,Remote,Crowdfunding,watsi.org,11-50,Seed,"$1,200,000"
1848,Battlefy,https://angel.co/battlefy,"The easiest way to start, manage, and find esports tournaments",May ’13,Vancouver,Fantasy Sports,battlefy.com,11-50,Seed,"$3,700,000"
1849,Moxxly,https://angel.co/moxxly,boss products for women,Mar ’15,San Francisco,Internet of Things,moxxly.com,1-10,Acquired,-
1850,London Bridge Ventures,https://angel.co/london-bridge-ventures,Investing in global innovations with a global vision,Jan ’15,London,-,londonbridgeventures.com,1-10,-,-
1851,Instaread,https://angel.co/instaread,Making access to information more efficient through audio!,Jan ’15,San Francisco,Mobile Commerce,instaread.co,11-50,Seed,"$1,675,000"
1852,Paid,https://angel.co/paid-labs,Autopilot for Accounts Receivable,Jan ’15,San Francisco,Developer APIs,paidlabs.com,1-10,-,-
1853,Zipline,https://angel.co/retailzipline,Real-time Operations for Retail,Jan ’15,San Francisco,Retail Technology,retailzipline.com,11-50,-,-
1854,Jet,https://angel.co/jet-1,,Jan ’15,-,-,-,-,,"$215,000,000"
1855,Canvas,https://angel.co/usecanvas,"Write, Collect, Learn",Jan ’15,San Francisco,Writers,usecanvas.com,1-10,-,-
1856,Altpoint Capital,https://angel.co/altpoint-capital,Investment management firm,Jul ’15,Greenwich,-,altpointcapital.com,11-50,-,-
1857,happn app,https://angel.co/happn-app,Find the people you've crossed path with,Apr ’15,-,-,happn.com,,Series B,"$22,000,000"
1858,Seneca Systems,https://angel.co/seneca-systems,Strengthen the vital bond between the government and its people.,Aug ’16,Redwood City,Governments,senecagov.com,11-50,Seed,"$3,500,000"
1859,Assessments.com,https://angel.co/assessments-com,Corrections/Human Services Marketplace,Jan ’15,Salt Lake City,Predictive Analytics,assessments.com,1-10,-,-
1860,Azure Capital Partners,https://angel.co/azure-capital-partners,Hands-on post-seed investors,Apr ’14,San Francisco,-,azurecap.com,1-10,-,-
1861,Centrify,https://angel.co/centrify,,Jan ’12,Sunnyvale,Identity Management,centrify.com,-,,"$94,000,000"
1862,IDInvest Partners,https://angel.co/idinvest-partners,,Jan ’12,Paris,-,idinvest.com,,-,-
1863,Fivestars,https://angel.co/fivestars,Rewards and marketing platform for local businesses and the communities they serve,Feb ’13,San Francisco,Loyalty Programs,fivestars.com,201-500,Series C,"$92,650,000"
1864,Banjo,https://angel.co/banjo,,Jul ’13,Redwood City,Concerts,ban.jo,51-200,,"$121,000,000"
1865,FOBO,https://angel.co/fobo-1,"The fastest, easiest way to sell your electronics",Nov ’13,San Francisco,Hardware + Software,fobo.net,1-10,Acquired,"$2,600,000"
1866,ReTel Technologies,https://angel.co/retel-technologies,,Jan ’12,San Francisco,Analytics,reteltechnologies.com,-,Acquired,"$1,000,000"
1867,Lifeline Ventures,https://angel.co/lifeline-ventures,,Jan ’12,Helsinki,-,lifelineventures.com,-,Seed,"$20,700,000"
1868,Work Market,https://angel.co/work-market,The on-demand labor platform ,Feb ’12,New York City,Freelancers,workmarket.com,51-200,Acquired,"$36,000,000"
1869,Sungevity,https://angel.co/sungevity,,Dec ’14,Oakland,Solar,sungevity.com,501-1000,-,"$245,500,000"
1870,Glympse,https://angel.co/glympse,"Real-time, ephemeral location sharing",Mar ’18,Seattle,-,glympse.com,11-50,Series C,"$19,500,000"
1871,Pocket,https://angel.co/pocket,"When you find something you want to view later, put it in Pocket.",Jan ’12,San Francisco,Android,getpocket.com,11-50,Acquired,"$14,500,000"
1872,Hailo,https://angel.co/hailo,The Taxi Magnet,Aug ’12,New York City,Mobile Commerce,hailocab.com,51-200,Acquired,"$68,100,000"
1873,Five Mill Ventures,https://angel.co/five-mill-ventures,,Sep ’14,-,-,fivemillventures.com,-,-,-
1874,Gravity Ventures,https://angel.co/gravity-ventures,Gravity Ventures is a set of seed-stage angel funds that invests in tech-focused startups.,May ’12,Indianapolis,-,gravityventures.com,1-10,-,-
1875,NeoEdge Networks,https://angel.co/neoedge-networks,,May ’13,Mountain View,Advertising,neoedge.com,-,Acquired,"$10,000,000"
1876,Unitas Global,https://angel.co/unitas-global,Enterprise Private Cloud - Infrastructure as a Service,Mar ’13,-,Cloud Management,unitasglobal.com,51-200,Series A,"$5,700,000"
1877,JibJab,https://angel.co/jibjab,,Apr ’12,Marina del Rey,Digital Entertainment,jibjab.com,51-200,Series C,"$17,900,000"
1878,mLab,https://angel.co/mlab,Fully managed Database-as-a-Service for MongoDB,Jan ’13,San Francisco,Databases,mlab.com,11-50,Series B,"$8,000,000"
1879,Crowdtap,https://angel.co/crowdtap,,Jul ’12,New York City,Advertising Platforms,corp.crowdtap.com,51-200,Series B,"$15,000,000"
1880,Bain Capital Ventures,https://angel.co/bain-capital-ventures,The best sales and biz dev platform a B2B startup could ask for.,Sep ’12,Boston,-,baincapitalventures.com,11-50,-,-
1881,Lerer Hippeau,https://angel.co/lerer-hippeau,The most active early-stage investor in NYC. ,Apr ’13,New York City,-,lererhippeau.com,11-50,-,-
1882,Phunware,https://angel.co/phunware,Everything You Need to Succeed on Mobile,Dec ’12,Austin,Mobile Advertising,phunware.com,51-200,Series E,"$78,420,000"
1883,Mail.Ru Group,https://angel.co/mail-ru-group,Russian communication portal,Aug ’12,Russia,Curated Web,mail.ru,-,-,"$165,000,000"
1884,British Telecom,https://angel.co/british-telecom,,Jan ’12,-,-,bt.com,-,-,-
1885,Next New Networks,https://angel.co/next-new-networks,A new kind of media company.,Jun ’12,New York City,Video Streaming,nextnewnetworks.com,1-10,Acquired,"$27,063,781"
1886,Warburg Pincus,https://angel.co/warburg-pincus,,Jan ’12,New York City,-,warburgpincus.com,-,-,-
1887,Mobli,https://angel.co/mobli,"Mobli is a photo & video sharing app based on subjects, places and people",May ’13,Tel Aviv-Yafo,Real Time,mobli.com,1-10,Series A,"$86,045,000"
1888,Joyus,https://angel.co/joyus,,Jun ’15,San Francisco,E-Commerce,joyus.com,-,,"$43,400,000"
1889,interclick,https://angel.co/interclick,,Jul ’12,New York City,Advertising,interclick.com,-,Acquired,"$288,100,000"
1890,Bitdefender,https://angel.co/bitdefender,Top Antivirus Technology,Sep ’12,Bucharest,Software,bitdefender.com,-,,"$7,000,000"
1891,Bullhorn,https://angel.co/bullhorn,,Sep ’12,Boston,Staffing Firms,bullhorn.com,,Series C,"$27,500,000"
1892,Borealis Ventures,https://angel.co/borealis-ventures,,Sep ’14,Hanover,-,borealisventures.com,,-,-
1893,App Annie,https://angel.co/app-annie,Build a better app business.,Feb ’13,San Francisco,App Stores,appannie.com,201-500,Series E,"$140,000,000"
1894,LeadGenius,https://angel.co/leadgenius,,Jul ’12,Berkeley,Crowdsourcing,leadgenius.com,11-50,Series B,"$22,200,000"
1895,TPG Capital,https://angel.co/tpg-capital,,Jan ’12,Austin,-,tpg.com,-,-,-
1896,Sparkroom,https://angel.co/sparkroom,Marketing automation for schools,May ’12,Toronto,-,sparkroom.com,-,Acquired,"$4,000,000"
1897,Dyn,https://angel.co/dyn,Cloud-Based Internet Performance,Aug ’12,Manchester,Cloud Infrastructure,dyn.com,201-500,Series B,"$88,000,000"
1898,MK Capital,https://angel.co/mk-capital,,Jan ’12,Northbrook,-,mkcapital.com,-,-,-
1899,Alpha,https://angel.co/alpha-2,Private networking group for those passionate about the web,Jan ’12,Menlo Park,E-Commerce,Website,-,-,-
1900,Mesmo,https://angel.co/mesmo-tv,,Feb ’17,San Francisco,Games,mesmo.tv,1-10,Acquired,"$900,000"
1901,UFOstart AG,https://angel.co/ufostart,Crowdsourcing lean startups with investors and experts and customers.,May ’13,Berlin,Crowdsourcing,ufostart.com,11-50,,"$1,000,000"
1902,GrandBanks Capital,https://angel.co/grandbanks-capital,,Feb ’14,Wellesley,-,GrandBanksCapital.com,-,-,-
1903,T5 Capital,https://angel.co/t5-capital,,Mar ’12,New York City,-,t5capital.com,1-10,-,-
1904,Betable,https://angel.co/betable,Legally add real-money gambling to your games.,Feb ’12,San Francisco,Gambling,developers.betable.com,11-50,Series A,"$18,500,000"
1905,Ubersense,https://angel.co/ubersense-1,Ubersense is a mobile app that helps people improve at sports through video coaching.,Sep ’12,Boston,Health and Wellness,ubersense.com,1-10,Acquired,"$1,150,000"
1906,GramercyOne,https://angel.co/gramercyone,,Sep ’12,-,-,gramercyone.com,-,Series A,"$14,500,000"
1907,Luminate,https://angel.co/luminate,,Jan ’12,Mountain View,-,luminate.com,-,Acquired,"$28,450,000"
1908,Happiness Engines,https://angel.co/happiness-engines,,Jun ’12,-,-,happinessengines.com,-,-,-
1909,ChickRx,https://angel.co/chickrx,Wellness Advice & Coaching,Jun ’12,San Francisco,Women-Focused,chickrx.com,1-10,-,"$540,000"
1910,Wimdu,https://angel.co/wimdu,Simply Better than a Hotel,Jan ’14,Berlin,Vacation Rentals,wimdu.com,201-500,Series A,"$90,000,000"
1911,Onestop Internet,https://angel.co/onestop-internet,Full-spectrum outsourced retail e-commerce development and management.,Jul ’12,-,E-Commerce,onestop.com,201-500,Series B,"$22,450,000"
1912,InContext Solutions,https://angel.co/incontext-solutions,,Dec ’12,Chicago Heights,Software,incontextsolutions.com,-,,"$36,200,000"
1913,Chirpme,https://angel.co/chirpme-1,,Oct ’12,-,Online Dating,,11-50,Acquired,-
1914,Cinchcast,https://angel.co/cinchcast,,Jun ’12,New York City,Video Streaming,cinchcast.com,1-10,-,"$7,300,000"
1915,Campaign Monitor,https://angel.co/campaign-monitor,Send beautiful email newsletters.,Jun ’13,Sydney,Email Newsletters,campaignmonitor.com,51-200,,"$250,000,000"
1916,Mintigo,https://angel.co/mintigo,,Jun ’13,San Mateo,Lead Generation,mintigo.com,-,Series D,"$34,000,000"
1917,Passion Capital,https://angel.co/passion-capital,,Jan ’12,London,Venture Capital,passioncapital.com,1-10,-,-
1918,BlueSprig,https://angel.co/bluesprig,mobile security software,Mar ’12,San Francisco,Software,bluesprig.com,-,Series A,"$10,000,000"
1919,Maker Studios,https://angel.co/maker-studios,TV meets Youtube,Mar ’15,Los Angeles,Content,makerstudios.com,201-500,,"$526,000,000"
